[2023-05-06 22:52:04,371][__main__][INFO] - Training seed 0 for 200000 timesteps with DDPGAgent and NormalReplayBuffer
[2023-05-07 00:26:34,764][core][INFO] - Seed: 3407, Step: 160000, Eval mean: 250.62594299316407, Eval std: 19.248568303542783
[2023-05-07 00:27:23,388][core][INFO] - Seed: 3407, Step: 165000, Eval mean: 236.10572814941406, Eval std: 9.455691783929714
[2023-05-07 00:28:08,360][core][INFO] - Seed: 3407, Step: 170000, Eval mean: 255.51516418457032, Eval std: 11.980557686774436
[2023-05-07 00:28:54,751][core][INFO] - Seed: 3407, Step: 175000, Eval mean: 250.1492889404297, Eval std: 11.118629607841234
[2023-05-07 00:29:38,962][core][INFO] - Seed: 3407, Step: 180000, Eval mean: 262.7751129150391, Eval std: 6.487125995014824
[2023-05-07 00:30:21,795][core][INFO] - Seed: 3407, Step: 185000, Eval mean: 265.4755615234375, Eval std: 5.941026618135198
[2023-05-07 00:31:05,405][core][INFO] - Seed: 3407, Step: 190000, Eval mean: 252.27725830078126, Eval std: 5.668541133171934
[2023-05-07 00:31:47,502][core][INFO] - Seed: 3407, Step: 195000, Eval mean: 261.27122802734374, Eval std: 5.3883960669401345
[2023-05-07 00:32:29,998][core][INFO] - Seed: 3407, Step: 200000, Eval mean: 251.718359375, Eval std: 9.46381279485528
[2023-05-07 00:32:41,727][__main__][INFO] - Finish training seed 3407 with everage eval mean: 265.4755615234375
