[2023-05-06 23:56:01,021][__main__][INFO] - Training seed 0 for 200000 timesteps with TD3Agent and NormalReplayBuffer
[2023-05-07 01:11:29,740][core][INFO] - Seed: 3407, Step: 45000, Eval mean: -17.708776569366456, Eval std: 6.804409150101255
[2023-05-07 01:12:26,042][core][INFO] - Seed: 3407, Step: 50000, Eval mean: -35.109850311279295, Eval std: 9.026927535817302
[2023-05-07 01:13:21,486][core][INFO] - Seed: 3407, Step: 55000, Eval mean: -23.06815814971924, Eval std: 5.769270439939405
[2023-05-07 01:14:19,585][core][INFO] - Seed: 3407, Step: 60000, Eval mean: -31.946540451049806, Eval std: 12.16829658749724
[2023-05-07 01:15:17,579][core][INFO] - Seed: 3407, Step: 65000, Eval mean: -6.458670330047608, Eval std: 19.877641603336144
[2023-05-07 01:16:11,856][core][INFO] - Seed: 3407, Step: 70000, Eval mean: -20.093883514404297, Eval std: 6.7606041758657245
[2023-05-07 01:17:06,913][core][INFO] - Seed: 3407, Step: 75000, Eval mean: -30.51337261199951, Eval std: 32.100982898933424
[2023-05-07 01:18:05,882][core][INFO] - Seed: 3407, Step: 80000, Eval mean: -18.64464864730835, Eval std: 9.707539838779963
[2023-05-07 01:19:00,669][core][INFO] - Seed: 3407, Step: 85000, Eval mean: -19.46563091278076, Eval std: 8.79785696481194
[2023-05-07 01:19:55,293][core][INFO] - Seed: 3407, Step: 90000, Eval mean: -25.77317419052124, Eval std: 12.584415104172237
[2023-05-07 01:20:48,692][core][INFO] - Seed: 3407, Step: 95000, Eval mean: -18.89108724594116, Eval std: 12.827850561612365
[2023-05-07 01:21:44,587][core][INFO] - Seed: 3407, Step: 100000, Eval mean: -32.123155975341795, Eval std: 6.819131552755684
[2023-05-07 01:22:39,474][core][INFO] - Seed: 3407, Step: 105000, Eval mean: -29.67557029724121, Eval std: 9.155211004638117
[2023-05-07 01:23:34,958][core][INFO] - Seed: 3407, Step: 110000, Eval mean: -18.860809326171875, Eval std: 39.36232268522928
[2023-05-07 01:24:32,422][core][INFO] - Seed: 3407, Step: 115000, Eval mean: -40.16686782836914, Eval std: 23.163856095221504
[2023-05-07 01:25:27,313][core][INFO] - Seed: 3407, Step: 120000, Eval mean: -30.32735404968262, Eval std: 5.300405587955184
[2023-05-07 01:26:22,520][core][INFO] - Seed: 3407, Step: 125000, Eval mean: -36.61150283813477, Eval std: 6.067850466853557
[2023-05-07 01:27:18,018][core][INFO] - Seed: 3407, Step: 130000, Eval mean: -41.04750289916992, Eval std: 10.162519944036916
[2023-05-07 01:28:13,040][core][INFO] - Seed: 3407, Step: 135000, Eval mean: -36.20680046081543, Eval std: 9.904678151829629
[2023-05-07 01:29:07,828][core][INFO] - Seed: 3407, Step: 140000, Eval mean: -18.45302333831787, Eval std: 17.528003263315377
[2023-05-07 01:30:00,974][core][INFO] - Seed: 3407, Step: 145000, Eval mean: -34.53206787109375, Eval std: 8.563312739378743
[2023-05-07 01:30:54,442][core][INFO] - Seed: 3407, Step: 150000, Eval mean: -3.863489532470703, Eval std: 68.43509509133885
[2023-05-07 01:31:49,111][core][INFO] - Seed: 3407, Step: 155000, Eval mean: -53.70027809143066, Eval std: 20.361102072443966
[2023-05-07 01:32:44,192][core][INFO] - Seed: 3407, Step: 160000, Eval mean: -61.15493621826172, Eval std: 22.61500703281207
[2023-05-07 01:33:37,915][core][INFO] - Seed: 3407, Step: 165000, Eval mean: -35.45334701538086, Eval std: 11.090864890211131
[2023-05-07 01:34:30,218][core][INFO] - Seed: 3407, Step: 170000, Eval mean: 5.331096649169922, Eval std: 91.58286586994073
[2023-05-07 01:35:17,808][core][INFO] - Seed: 3407, Step: 175000, Eval mean: 114.70631523132325, Eval std: 72.2634643816397
[2023-05-07 01:36:04,216][core][INFO] - Seed: 3407, Step: 180000, Eval mean: 212.82914123535156, Eval std: 16.25582126718324
[2023-05-07 01:36:50,258][core][INFO] - Seed: 3407, Step: 185000, Eval mean: 187.30014038085938, Eval std: 20.257286349591798
[2023-05-07 01:37:33,407][core][INFO] - Seed: 3407, Step: 190000, Eval mean: 228.42828369140625, Eval std: 11.500693528299506
[2023-05-07 01:38:15,665][core][INFO] - Seed: 3407, Step: 195000, Eval mean: 209.0934066772461, Eval std: 46.990323756695545
[2023-05-07 01:38:55,633][core][INFO] - Seed: 3407, Step: 200000, Eval mean: 250.59886779785157, Eval std: 26.49690371231299
[2023-05-07 01:39:09,693][__main__][INFO] - Finish training seed 3407 with everage eval mean: 250.59886779785157
